N,Nodos,Tiempo
500,100,0.001075
1000,100,0.000996
1500,100,0.000957
2000,100,0.000934
2500,100,0.001144
3000,100,0.000984
3500,100,0.001135
4000,100,0.00123
4500,100,0.001089
5000,100,0.001138
5500,100,0.001132
6000,100,0.001198
6500,100,0.001172
7000,100,0.001226
7500,100,0.001243
8000,100,0.001341
8500,100,0.001304
9000,100,0.001481
9500,100,0.001397
10000,100,0.001438
500,300,0.001048
1000,300,0.001086
1500,300,0.001281
2000,300,0.001194
2500,300,0.001289
3000,300,0.001412
3500,300,0.001428
4000,300,0.001659
4500,300,0.001499
5000,300,0.002009
5500,300,0.001956
6000,300,0.001895
6500,300,0.002052
7000,300,0.002129
7500,300,0.002312
8000,300,0.002357
8500,300,0.002242
9000,300,0.002437
9500,300,0.002498
10000,300,0.002589
500,500,0.00097
1000,500,0.001027
1500,500,0.001258
2000,500,0.001537
2500,500,0.001853
3000,500,0.002079
3500,500,0.002192
4000,500,0.002431
4500,500,0.002753
5000,500,0.003005
5500,500,0.002709
6000,500,0.003379
6500,500,0.003096
7000,500,0.003378
7500,500,0.003972
8000,500,0.003817
8500,500,0.003744
9000,500,0.003878
9500,500,0.004245
10000,500,0.004019
500,700,0.000973
1000,700,0.001263
1500,700,0.001661
2000,700,0.001731
2500,700,0.002418
3000,700,0.002785
3500,700,0.002863
4000,700,0.003368
4500,700,0.003744
5000,700,0.003911
5500,700,0.003688
6000,700,0.004281
6500,700,0.004526
7000,700,0.004366
7500,700,0.004657
8000,700,0.005323
8500,700,0.00537
9000,700,0.006113
9500,700,0.005451
10000,700,0.006545
500,900,0.001264
1000,900,0.001672
1500,900,0.002031
2000,900,0.002395
2500,900,0.002828
3000,900,0.003187
3500,900,0.004228
4000,900,0.004271
4500,900,0.004887
5000,900,0.004902
5500,900,0.005393
6000,900,0.005741
6500,900,0.006567
7000,900,0.006505
7500,900,0.006666
8000,900,0.006113
8500,900,0.007554
9000,900,0.007544
9500,900,0.007918
10000,900,0.008327
