N,Nodos,Tiempo
500,100,0.000497
1000,100,0.000519
1500,100,0.00051
2000,100,0.000497
2500,100,0.000548
3000,100,0.000504
3500,100,0.000559
4000,100,0.000501
4500,100,0.000537
5000,100,0.000506
5500,100,0.000515
6000,100,0.000525
6500,100,0.000505
7000,100,0.000499
7500,100,0.000512
8000,100,0.000514
8500,100,0.000502
9000,100,0.000511
9500,100,0.000512
10000,100,0.000513
500,300,0.000492
1000,300,0.000497
1500,300,0.000494
2000,300,0.000679
2500,300,0.000513
3000,300,0.000683
3500,300,0.000489
4000,300,0.000673
4500,300,0.000517
5000,300,0.000672
5500,300,0.000489
6000,300,0.000671
6500,300,0.000498
7000,300,0.000695
7500,300,0.000499
8000,300,0.0007
8500,300,0.000493
9000,300,0.000684
9500,300,0.000499
10000,300,0.00072
500,500,0.000522
1000,500,0.00066
1500,500,0.000499
2000,500,0.000504
2500,500,0.000501
3000,500,0.000507
3500,500,0.000507
4000,500,0.000516
4500,500,0.000502
5000,500,0.000507
5500,500,0.000502
6000,500,0.0005
6500,500,0.000506
7000,500,0.000521
7500,500,0.00049
8000,500,0.000501
8500,500,0.000501
9000,500,0.000502
9500,500,0.000516
10000,500,0.000519
500,700,0.000487
1000,700,0.000495
1500,700,0.000568
2000,700,0.000492
2500,700,0.000491
3000,700,0.000495
3500,700,0.000496
4000,700,0.000493
4500,700,0.000494
5000,700,0.000533
5500,700,0.000494
6000,700,0.000511
6500,700,0.000539
7000,700,0.000518
7500,700,0.000508
8000,700,0.000533
8500,700,0.000505
9000,700,0.000528
9500,700,0.000498
10000,700,0.000524
500,900,0.000495
1000,900,0.000518
1500,900,0.000509
2000,900,0.000511
2500,900,0.000501
3000,900,0.000519
3500,900,0.000501
4000,900,0.000499
4500,900,0.000493
5000,900,0.000498
5500,900,0.000509
6000,900,0.000572
6500,900,0.000506
7000,900,0.000521
7500,900,0.000511
8000,900,0.000527
8500,900,0.000507
9000,900,0.000517
9500,900,0.000505
10000,900,0.000502
