N,Nodos,Tiempo
500,100,0.000696
1000,100,0.000506
1500,100,0.000637
2000,100,0.000669
2500,100,0.000666
3000,100,0.00069
3500,100,0.000716
4000,100,0.000645
4500,100,0.00077
5000,100,0.000693
5500,100,0.000861
6000,100,0.000892
6500,100,0.000982
7000,100,0.000859
7500,100,0.000931
8000,100,0.000868
8500,100,0.000916
9000,100,0.001004
9500,100,0.000941
10000,100,0.001011
500,300,0.000627
1000,300,0.000656
1500,300,0.00082
2000,300,0.000843
2500,300,0.00108
3000,300,0.001187
3500,300,0.001142
4000,300,0.001253
4500,300,0.001467
5000,300,0.001465
5500,300,0.001427
6000,300,0.001542
6500,300,0.001546
7000,300,0.001742
7500,300,0.001813
8000,300,0.001758
8500,300,0.001955
9000,300,0.001946
9500,300,0.001971
10000,300,0.002108
500,500,0.000686
1000,500,0.000776
1500,500,0.001102
2000,500,0.001285
2500,500,0.001567
3000,500,0.001617
3500,500,0.001846
4000,500,0.001841
4500,500,0.001855
5000,500,0.002034
5500,500,0.002131
6000,500,0.002292
6500,500,0.002405
7000,500,0.002674
7500,500,0.002613
8000,500,0.002697
8500,500,0.002751
9000,500,0.002965
9500,500,0.003018
10000,500,0.003251
500,700,0.000697
1000,700,0.000915
1500,700,0.001436
2000,700,0.001564
2500,700,0.002061
3000,700,0.002149
3500,700,0.002272
4000,700,0.002467
4500,700,0.002711
5000,700,0.00295
5500,700,0.002992
6000,700,0.003127
6500,700,0.003159
7000,700,0.003333
7500,700,0.003588
8000,700,0.003781
8500,700,0.003787
9000,700,0.003931
9500,700,0.004194
10000,700,0.00445
500,900,0.000862
1000,900,0.001253
1500,900,0.001927
2000,900,0.001756
2500,900,0.002677
3000,900,0.002961
3500,900,0.003111
4000,900,0.00321
4500,900,0.003115
5000,900,0.003551
5500,900,0.003781
6000,900,0.003956
6500,900,0.004165
7000,900,0.004106
7500,900,0.004227
8000,900,0.00488
8500,900,0.004946
9000,900,0.005003
9500,900,0.005522
10000,900,0.005843
