N,Nodos,Tiempo
500,100,0.001289
1000,100,0.001306
1500,100,0.00133
2000,100,0.001317
2500,100,0.001283
3000,100,0.00126
3500,100,0.001353
4000,100,0.001314
4500,100,0.001337
5000,100,0.001319
5500,100,0.001387
6000,100,0.001289
6500,100,0.001312
7000,100,0.001331
7500,100,0.001307
8000,100,0.001356
8500,100,0.001442
9000,100,0.001305
9500,100,0.001409
10000,100,0.001316
500,300,0.001293
1000,300,0.001314
1500,300,0.001332
2000,300,0.001322
2500,300,0.001307
3000,300,0.001291
3500,300,0.00132
4000,300,0.001331
4500,300,0.001331
5000,300,0.001321
5500,300,0.001301
6000,300,0.001351
6500,300,0.001322
7000,300,0.001333
7500,300,0.001343
8000,300,0.001292
8500,300,0.001388
9000,300,0.001374
9500,300,0.001349
10000,300,0.001372
500,500,0.001441
1000,500,0.001303
1500,500,0.001314
2000,500,0.001297
2500,500,0.001316
3000,500,0.001293
3500,500,0.001379
4000,500,0.00132
4500,500,0.001316
5000,500,0.00138
5500,500,0.001346
6000,500,0.001339
6500,500,0.001351
7000,500,0.00132
7500,500,0.001371
8000,500,0.001336
8500,500,0.001389
9000,500,0.001361
9500,500,0.001362
10000,500,0.001376
500,700,0.00133
1000,700,0.001285
1500,700,0.001283
2000,700,0.001275
2500,700,0.001287
3000,700,0.001398
3500,700,0.001319
4000,700,0.001335
4500,700,0.001359
5000,700,0.001327
5500,700,0.001362
6000,700,0.001317
6500,700,0.001362
7000,700,0.001428
7500,700,0.001308
8000,700,0.001337
8500,700,0.001332
9000,700,0.001334
9500,700,0.001331
10000,700,0.001431
500,900,0.00134
1000,900,0.001309
1500,900,0.001286
2000,900,0.001345
2500,900,0.00133
3000,900,0.001354
3500,900,0.001334
4000,900,0.001361
4500,900,0.001323
5000,900,0.001575
5500,900,0.001341
6000,900,0.001339
6500,900,0.001435
7000,900,0.001416
7500,900,0.001337
8000,900,0.001375
8500,900,0.001346
9000,900,0.001415
9500,900,0.001486
10000,900,0.001466
