N,Nodos,Tiempo
500,100,0.000513
1000,100,0.000515
1500,100,0.000505
2000,100,0.000496
2500,100,0.000612
3000,100,0.000497
3500,100,0.000686
4000,100,0.000541
4500,100,0.000627
5000,100,0.000594
5500,100,0.000642
6000,100,0.000754
6500,100,0.000661
7000,100,0.000788
7500,100,0.000817
8000,100,0.000822
8500,100,0.000851
9000,100,0.000861
9500,100,0.000884
10000,100,0.000973
500,300,0.000496
1000,300,0.00103
1500,300,0.000631
2000,300,0.000917
2500,300,0.000933
3000,300,0.000976
3500,300,0.001018
4000,300,0.001084
4500,300,0.00113
5000,300,0.001216
5500,300,0.001231
6000,300,0.001297
6500,300,0.001359
7000,300,0.001561
7500,300,0.001692
8000,300,0.001544
8500,300,0.001585
9000,300,0.001652
9500,300,0.001729
10000,300,0.001885
500,500,0.00057
1000,500,0.000803
1500,500,0.001083
2000,500,0.001007
2500,500,0.00129
3000,500,0.001267
3500,500,0.001344
4000,500,0.001506
4500,500,0.001596
5000,500,0.001674
5500,500,0.001745
6000,500,0.001807
6500,500,0.001936
7000,500,0.001966
7500,500,0.002129
8000,500,0.002228
8500,500,0.00237
9000,500,0.002488
9500,500,0.00253
10000,500,0.002809
500,700,0.000618
1000,700,0.00105
1500,700,0.001314
2000,700,0.001517
2500,700,0.00158
3000,700,0.001647
3500,700,0.001797
4000,700,0.001934
4500,700,0.002084
5000,700,0.00198
5500,700,0.002289
6000,700,0.002409
6500,700,0.002558
7000,700,0.002663
7500,700,0.002885
8000,700,0.002847
8500,700,0.003079
9000,700,0.003159
9500,700,0.003415
10000,700,0.003811
500,900,0.000574
1000,900,0.00126
1500,900,0.001623
2000,900,0.001788
2500,900,0.001988
3000,900,0.002072
3500,900,0.002112
4000,900,0.00238
4500,900,0.002482
5000,900,0.00264
5500,900,0.002783
6000,900,0.003
6500,900,0.003125
7000,900,0.003157
7500,900,0.003513
8000,900,0.003611
8500,900,0.003834
9000,900,0.003867
9500,900,0.003971
10000,900,0.004526
