N,Nodos,Tiempo
500,100,0.00049
1000,100,0.000379
1500,100,0.000476
2000,100,0.000399
2500,100,0.000484
3000,100,0.000456
3500,100,0.000497
4000,100,0.000501
4500,100,0.000516
5000,100,0.000555
5500,100,0.000602
6000,100,0.000668
6500,100,0.000629
7000,100,0.00062
7500,100,0.000863
8000,100,0.000721
8500,100,0.000688
9000,100,0.000703
9500,100,0.00069
10000,100,0.000751
500,300,0.000407
1000,300,0.000476
1500,300,0.00062
2000,300,0.000644
2500,300,0.00068
3000,300,0.000786
3500,300,0.000801
4000,300,0.00084
4500,300,0.00088
5000,300,0.000952
5500,300,0.001036
6000,300,0.001129
6500,300,0.001112
7000,300,0.001278
7500,300,0.001319
8000,300,0.001273
8500,300,0.001354
9000,300,0.001389
9500,300,0.001417
10000,300,0.001166
500,500,0.000453
1000,500,0.000754
1500,500,0.000812
2000,500,0.00091
2500,500,0.000951
3000,500,0.001069
3500,500,0.001125
4000,500,0.001183
4500,500,0.001261
5000,500,0.001404
5500,500,0.00153
6000,500,0.001585
6500,500,0.001653
7000,500,0.001639
7500,500,0.001955
8000,500,0.001885
8500,500,0.002156
9000,500,0.002053
9500,500,0.002117
10000,500,0.002308
500,700,0.000523
1000,700,0.000879
1500,700,0.001046
2000,700,0.001137
2500,700,0.001259
3000,700,0.001355
3500,700,0.001445
4000,700,0.001593
4500,700,0.001622
5000,700,0.001373
5500,700,0.002013
6000,700,0.0021
6500,700,0.002159
7000,700,0.002225
7500,700,0.002495
8000,700,0.002532
8500,700,0.002616
9000,700,0.002662
9500,700,0.002863
10000,700,0.002979
500,900,0.000859
1000,900,0.001016
1500,900,0.001201
2000,900,0.001245
2500,900,0.001498
3000,900,0.001584
3500,900,0.001833
4000,900,0.001877
4500,900,0.001964
5000,900,0.002276
5500,900,0.00248
6000,900,0.002561
6500,900,0.002638
7000,900,0.002864
7500,900,0.003046
8000,900,0.003132
8500,900,0.003313
9000,900,0.003397
9500,900,0.003635
10000,900,0.003692
