N,Nodos,Tiempo
500,100,0.000331
1000,100,0.00033
1500,100,0.000319
2000,100,0.000334
2500,100,0.000326
3000,100,0.000339
3500,100,0.000363
4000,100,0.000337
4500,100,0.000344
5000,100,0.000338
5500,100,0.000354
6000,100,0.000349
6500,100,0.000355
7000,100,0.000355
7500,100,0.000351
8000,100,0.000338
8500,100,0.000335
9000,100,0.000343
9500,100,0.000351
10000,100,0.000326
500,300,0.000321
1000,300,0.000312
1500,300,0.000326
2000,300,0.000327
2500,300,0.000346
3000,300,0.000337
3500,300,0.000349
4000,300,0.000384
4500,300,0.000336
5000,300,0.000329
5500,300,0.000329
6000,300,0.000334
6500,300,0.000341
7000,300,0.000331
7500,300,0.000333
8000,300,0.00033
8500,300,0.000341
9000,300,0.000339
9500,300,0.00033
10000,300,0.000332
500,500,0.000323
1000,500,0.000325
1500,500,0.000348
2000,500,0.000347
2500,500,0.000339
3000,500,0.000338
3500,500,0.000337
4000,500,0.000342
4500,500,0.000321
5000,500,0.000343
5500,500,0.000328
6000,500,0.000338
6500,500,0.000334
7000,500,0.000353
7500,500,0.000334
8000,500,0.000335
8500,500,0.000331
9000,500,0.000321
9500,500,0.000346
10000,500,0.000345
500,700,0.000326
1000,700,0.000344
1500,700,0.000346
2000,700,0.00033
2500,700,0.000346
3000,700,0.000347
3500,700,0.000329
4000,700,0.000336
4500,700,0.000332
5000,700,0.000318
5500,700,0.000326
6000,700,0.000319
6500,700,0.000326
7000,700,0.000337
7500,700,0.00033
8000,700,0.00034
8500,700,0.000337
9000,700,0.000333
9500,700,0.000343
10000,700,0.000336
500,900,0.000332
1000,900,0.000344
1500,900,0.000353
2000,900,0.000338
2500,900,0.000339
3000,900,0.000329
3500,900,0.000337
4000,900,0.000345
4500,900,0.000345
5000,900,0.000342
5500,900,0.000337
6000,900,0.000336
6500,900,0.00033
7000,900,0.00034
7500,900,0.000332
8000,900,0.000344
8500,900,0.000336
9000,900,0.000349
9500,900,0.000338
10000,900,0.000357
