N,Nodos,Tiempo
500,100,0.000398
1000,100,0.000334
1500,100,0.000367
2000,100,0.00035
2500,100,0.000315
3000,100,0.000418
3500,100,0.000447
4000,100,0.000452
4500,100,0.00046
5000,100,0.000448
5500,100,0.000443
6000,100,0.000599
6500,100,0.000461
7000,100,0.000446
7500,100,0.000525
8000,100,0.000472
8500,100,0.000558
9000,100,0.000527
9500,100,0.000594
10000,100,0.000536
500,300,0.000239
1000,300,0.0003
1500,300,0.000221
2000,300,0.000444
2500,300,0.000458
3000,300,0.000576
3500,300,0.000745
4000,300,0.000624
4500,300,0.000661
5000,300,0.000684
5500,300,0.000751
6000,300,0.001001
6500,300,0.001023
7000,300,0.000945
7500,300,0.00095
8000,300,0.001083
8500,300,0.001051
9000,300,0.00111
9500,300,0.001154
10000,300,0.001224
500,500,0.000309
1000,500,0.000434
1500,500,0.000587
2000,500,0.000622
2500,500,0.000707
3000,500,0.000856
3500,500,0.000831
4000,500,0.001041
4500,500,0.000974
5000,500,0.001119
5500,500,0.001392
6000,500,0.001236
6500,500,0.001301
7000,500,0.001633
7500,500,0.001454
8000,500,0.001602
8500,500,0.001613
9000,500,0.001743
9500,500,0.001774
10000,500,0.001955
500,700,0.000407
1000,700,0.000524
1500,700,0.00061
2000,700,0.000764
2500,700,0.001028
3000,700,0.00092
3500,700,0.001333
4000,700,0.001263
4500,700,0.001311
5000,700,0.001419
5500,700,0.001526
6000,700,0.00196
6500,700,0.001727
7000,700,0.001906
7500,700,0.001965
8000,700,0.002494
8500,700,0.002204
9000,700,0.002379
9500,700,0.002476
10000,700,0.002658
500,900,0.000451
1000,900,0.000623
1500,900,0.000627
2000,900,0.000939
2500,900,0.001083
3000,900,0.001221
3500,900,0.001687
4000,900,0.001524
4500,900,0.00186
5000,900,0.001811
5500,900,0.002275
6000,900,0.002225
6500,900,0.002205
7000,900,0.002865
7500,900,0.003147
8000,900,0.003303
8500,900,0.003572
9000,900,0.002972
9500,900,0.00306
10000,900,0.004038
